,title,body,age,educated,region,url
173,구로청년정책네트워크,구로구 청년의 다양한 욕구와 의견을 반영한 현실적인 아이디어 발굴과 정책 실현을 위함.,만 19세 ~ 39세,"대학 재학, 휴학, 졸업생",서울특별시 구로구,http://www.guro.go.kr
174,청년 문화일자리 징검다리 사업,"문화예술분야 청년 활동가를 대상으로 향 후 진로에 필요한 실무능력 배양과 사회진출 기회를 제공하고 문화공간 기획 및 운영 인력을 확보 하고자「문화예술인력 징검다리
사업」결원에 의함",만 18세 이상,"제한없음(단, 대학 또는 대학원에 재학중인 자 참여배제)",서울특별시 구로구,http://www.guro.go.kr/
175,소상공인 창업아카데미 ,구로구는 예비창업자 및 소상공인을 위해 창업에 관한 정보를 제공하여 준비된 창업을 유도하고 창업성공률을 제고,-,제한없음,서울특별시 구로구,http://www.guro.go.kr
176,중소기업 청년인턴제,관내 3인 이상 기업을 대상으로 청년일자리 창출과 기업경쟁력 강화를 위하여 인턴기간 및 정규채용 기간동안 월 최대 100만원씩 최대 8개월 동안 인건비를 제공하는 취업지원 사업 ,만 18세 이상 ～ 39세 이하 청년 ,고교 졸업,서울특별시 구로구,http://www.guro.go.kr
177,구로구 G밸리 산업용 IoT 전문인력 양성사업," 서울시의 서울미래 혁신성장 정책에 기반하여 G밸리 산업체 수요 맞춤 인재 양성을 기업의 구인 수요 조사 후, 구로구 G밸리 기업과 네트워크를 보유한 비영리 단체 1개 기관을 선정하여, 전문교육을 통해 G밸리내 기업으로 취업연계가 가능한 태양광 융합 도시형  스마트팜팩토리 및 산업용 IoT 전문인력 양성사업 시행, G밸리 특화 기업 맞춤형 일자리의 지속적 확대를 위하여 협력 네트워크의 활용을 통한  일자리 창출의 지속적 확대",-,제한없음,서울특별시 구로구,http://www.guro.go.kr
178,서울시 중증장애인 이룸통장," 참가자가 3년간 매달 일정액을 저축하면 참가자 저축액과 서울시 지원금 등으로  최대 1,260만원이 적립되고 만기 적립 시 이자를 포함하여 지급하는 통장으로, 서울시 중증장애 청년의 성인기 준비와 자립씨앗자금 마련을 위한 자산형성을 지원",만 15세 이상 ~ 만 34세 이하,제한없음,서울특별시 구로구,http://www.guro.go.kr
179,역사전문가와 함께 하는 청소년 해외 역사 유적지 답사,구로구에서는 청소년들의 올바른 역사인식 함양 및 글로벌 리더십 신장을 위해 역사전문가와 함께「청소년 해외 역사 유적지 답사」를 시행,만 24세 이하,대학재학(휴학생 포함),서울특별시 구로구,http://www.guro.go.kr
180,희망두배청년통장,"저소득층이 주거, 창업, 교육자금 마련 등을 위한 자산 형성을 지원하여 탈빈곤의 토대 마련",만18세 이상~만34세 이하,제한없음,서울특별시 구로구,http://www.guro.go.kr/welfare/targetaid/low/low14.jsp?categoryVal=
181,구로 도시재생 LAB운영 사업,"빈집을 리모델링하여 창업관련 교육과 지원을 위한 ‘구로 도시재생 LAB’ 공간을 조성, 창업교육 및 실질적인 모의 창업 트레이닝 진행하여 청년창업과 일자리를 창출하고 지속적인 지역정착 유도",만 18세~39세이하,제한없음,서울특별시 구로구,http://www.guro.go.kr
182,2019년 G밸리 채용박람회,서울디지털단지 중소·중견·강소기업 인력난 해소 및 고용창출 기대,-,제한없음,서울특별시 구로구,http://www.guro.go.kr
183,2019년 신입직원 역량강화 교육,신입직원 역량강화 교육을 통한 강한 프로 직장인 육성 및 기업정착률 향상,-,제한없음,서울특별시 구로구,https://www.sbhrdc.re.kr
184,구로구 창업지원센터,구로구는 (사)벤처기업협회 서울벤처인큐베이터(SVI)와 함께 『구로구 창업지원센터』를 운영하고 있으며 우수하고 참신한 아이템으로 창업에 도전을 희망하는 기업가를 선발하여 적극 지원하고자 함,만19세 이상, 제한없음 ,서울특별시 구로구,http://www.guro.go.kr
185,"두잇 커뮤니티, 두잇 솔로 지원","청년들의 다양한 사회활동을 지원하여 인적네트워크 형성을 통한 사회성 향상 지원, 연간 10개 이상의 1인 가구 활동가/작업자/기획자/예술가 등을 발굴 및 활동금 50만원 지원, 은둔형 청년의 지역사회 편입 유도 및 사회성 향상",만 19세~39세,제한 없음,서울특별시 금천구," http://youthblg.org
https://blog.naver.com/youthblg
https://www.facebook.com/youthblg"
186,두잇 플러스 지원,지역과 사회의 문제에 대한 명확한 미션과 대안이 있는 청년 단체의 미션 수행비 지원,만 19세~39세,제한 없음,서울특별시 금천구," http://youthblg.org
https://blog.naver.com/youthblg
https://www.facebook.com/youthblg"
187,청삘사무소(거점별 청년활동공간 조성),민간에서 운영하는 공간을 청년단체 및 지역주민에게 특정시간대 주기적으로 개방하여 공간 조성 비용 절감 및 지역내 청년 문화 확산,만 19세~39세,제한 없음,서울특별시 금천구," http://youthblg.org
https://blog.naver.com/youthblg
https://www.facebook.com/youthblg"
188,"소셜다이닝 ""대대식당""",패스트푸드 먹거리에 익숙한 청년들을 대상으로 로컬푸드를 기반으로 하는 식생활 인식 개선을 통한 삶의 질 향상,만 19세~39세,제한 없음,서울특별시 금천구," http://youthblg.org
https://blog.naver.com/youthblg
https://www.facebook.com/youthblg
https://docs.google.com/forms/d/18_rofqg9LzkM-iS8evIQhifLzrXwSRLg_iALLv_1CDI/viewform?edit_requested=true"
189,청년 문화예술인 활동 지원,청년예술인의 재능을 활용한 활동 지원을 통해 청년 예술인의 진로 설계,만 19세~39세,제한 없음,서울특별시 금천구," http://youthblg.org
https://blog.naver.com/youthblg
https://www.facebook.com/youthblg
https://blog.naver.com/youthblg/221539295884"
190,청년 미래플랜 교육,"청년의 미래설계를 위해 지역의 경제인, NGO활동가 등 지역 저명인사의 인생담과 경험을 담은 특강 제공, 성공한 기성세대의 경험을 공유함으로써 청년들에게 기성세대의 노하우 전수 및 청년세대와 기성세대의 세대차이 완화",만 19세~39세,제한 없음,서울특별시 금천구,"http://www.geumcheon.go.kr/program/board/detail.jsp?boardTypeID=8&searchSelect=BOARDTITLE&currentPage=1&menuID=001004004005&boardLines=10&boardID=125628
https://sygc.kr/neighborhoods/1143"
191,청년활동공간 청춘삘딩,"자기계발, 청년지원사업 등 청년의 참여확대를 유도하여 스스로 자립기반 형성 등 사회참여 활동공간인 청년허브로 운영, 민간에서 운영하는 공간을 청년단체 및 지역주민에게 특정시간대 주기적으로 개방하여 공간 조성 비용 절감 및 지역내 청년 문화 확산",만 19세 이상 39세미만,제한 없음,서울특별시 금천구,http://www.youthblg.org/
192,일자리카페 프로그램,구직활동을 스스로 계획하고 준비할 수 있도록 다양한 취업지원 프로그램 운영을 통해 취업역량을 강화하여 취업률을 제고,만 15세~39세,제한 없음,서울특별시 금천구,http://job.seoul.go.kr
193,청년교류회,"청년 커뮤니티 팀들이 모여 활동 내용을 공유하고, 참여한 팀들 간 교류할 수 있는 장을 마련함으로써 사회성 향상 및 관계망 형성",만 19세~39세,제한 없음,서울특별시 금천구,-
194,G밸리 하우스 (청년주택) ,"주거 및 자립기반이 취약한 청년층의 성장지원을 위해 청년 맞춤형 공공임대주택인 G밸리 하우스를 청년기업인, 근로자, 예술인에게 공급",만 19세~39세,제한 없음,서울특별시 금천구,http://www.geumcheon.go.kr
195,금천청년네트워크,"청년문제해결을 위한 다양한 정책의제를 발굴하고 제안하는 능동적인 구민참여플랫폼. 청년의 참여를 기반으로 청년을 위한 정책을 만들기 위해 청년정책을 모니터링하고, 새로운 정책들을 제안하기 위한 금천구 청년네트워크(ABC)의 구성원을 모집",만19 ~ 39세,제한 없음,서울특별시 금천구,http://www.geumcheon.go.kr
196,금천구기업지원센터 창업특강,청년들에게 올바른 정보제공을 통해 스스로 진로선택을 할 수 있게 하는 게 청년 정책의 첫걸음. 이 교육을 통해 청년들이 초기부담을 최소화하면서 자신의 꿈을 펼칠 수 있는 계기 제공,만 34세 미만,해당 없음,서울특별시 금천구,http://www.geumcheon.go.kr
197,공공근로사업,"저소득 실업자 및 정기적 소득이 없는 일용근로자의 생계를 지원하고, 청년실업자의 직업 능력을 배양하기 위한 한시적 일자리를 제공",만 18세 이상,해당없음,서울특별시 금천구,https://www.gov.kr/portal/service/serviceInfo/000000319780
198,메이커스페이스 운영,최고 수준의 원스톱 하드웨어 메이커 지원시설 구축,-,"1. 전용공간 확보 (일반랩 100m² 내외, 전문랩 1,000m² 내외) 2. 대응자금 투자 (총사업비 기준, 일반랩 20% 이상, 전문랩 30% 이상) 3. 운영역량 보유 (총괄책임자 제외, 일반랩 2명 이상, 전문랩 7명 이상) 4. 운영 책임 (개소일로부터 5년 이상 운영) 5. 기타 (컨설팅 보완요구, 성과목표 설정, 가이드라인 준수)",서울특별시 금천구,https://www.k-startup.go.kr/
199,청년미래기금조성,"금천구 청년의 자립기반 형성 및 다양한 청년지원사업 추진에 필요한 재원의 안정적 확보, 저성장의 장기화, 산업구조의 변화 등으로 청년층의 실업률이 전체 실업률에
두 배 이상 높은 상태, 청년기금을 조성하여 청년을 위한 다양한 사업을 추진할 필요성이 있음",만19세 이상 ~ 39세 이하,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
200,금천희망취업캠프,"직업훈련기관과 연계하여 특성화고 등 취업희망학생들의 실무 직업능력
강화교육 및 취업연계를 병행한 취업캠프를 운영하여 청년취업률 향상 도모",만 18세,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
201,노동자종합지원센터 설립,"노동자를 위한 복지시설 조성을 통해 종합적인 노동복지서비스 제공, 고용안정 및 노동권익 보호를 위한 노동법 상담 등 노동복지를 위한 종합공간 필요",-,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
202,공공부문 감정노동 종사자 권리보호,우리구 및 산하기관 등 공공부문에서 근무하는 감정노동 종사자의 권리 보호 대책 마련과 인식개선을 통하여 실질적 권익 향상,-,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
203,일자리발굴단,"G밸리 기업에게 효과적인 맞춤형 인재를 제공하기 위해 채용정보를 공유하는 등 유기적인 협력 네트워크 구축, 구청 일자리센터에 비해 취업 연계 실적 현저히 낮음, 온라인/오프라인 병행하여 구인발굴 필요성 증가",-,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
204,공동주택관리 지원사업,"2019년 공동주택 관리 지원사업을 시행. 
※ 2019년부터는 공동주택 관리 지원사업 접수를 연1회 진행할 예정이며, 기한내 신청하지 않을 경우 해당없음으로 간주예정",-,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
205,사회적경제 청년코디네이터 사업,공공일자리 경험을 통해 취업역량을 강화,만 18세 이상,제한없음,서울특별시 금천구,http://www.geumcheon.go.kr/
206,지역주도형 청년일자리 사업,청년 일자리 창출 및 지역·공공일자리 발굴을 통해 청년의 능동적인 사회 참여의 기회를 보장하고 청년의 삶의 질 향상에 기여,만39세 이하,제한없음,서울특별시 노원구,http://www.nowon.kr/
207,2019. 청년 뉴딜일자리 사업,청년 일자리 창출 및 지역·공공일자리 발굴을 통해 청년의 능동적인 사회 참여의 기회를 보장하고 청년의 삶의 질 향상에 기여하고자 함 ,만18세이상 39세이하,"대학교(원) 수료생, 졸업예정자, 졸업유예자, 방송통신대학‧사이버대학․야간대학(원) 재학생",서울특별시 노원구,http://www.nowon.kr/
208,노원구 청년일자리 아이디어 경진대회,지역주민의 청년 일자리 관심 확산을 유도하고 좋은 아이디어에 대하여는 시상 후 자치구 일자리 사업으로 진행 하고자 함 ,만15세 이상,제한없음,서울특별시 노원구,http://www.nowon.kr/
209,청년 동아리 활동 지원,"후기 청소년(19세~24세)과 청년들의 경제·사회·문화 등 분야에서 참여확대, 권익증진, 능력발전 등을 위해 청년 동아리 활동을 지원하고자 함",만15세~만39세 이하,제한없음,서울특별시 노원구,http://www.nowon.kr/
210,노원 청년 힐링 프로그램 운영 ,"후기 청소년(19세~24세) 및 청년에게 잠시 쉬어가는 
 힐링 프로그램을 운영하여 삶을 설계 할 수 있는 기회를 제공하고자 함 ",만 19세 이상~만 39세 이하 ,제한없음,서울특별시 노원구,http://www.nowon.kr/
211,청년 활력공간 조성,"직면한 현상에서 발견한 사회, 도시, 세대의 문제와 이를 해결하기 위한 청년시민 개인 및 소모임 실험 금전/공간/네트 워크 지원, 청년 활력공간(무중력지대) 조성",만19세~만39세 이하,제한없음,서울특별시 노원구,http://www.nowon.kr/
212,노원구서비스공단 청년 인턴사원,청년 일자리 창출 및 경험 제공,만 18세 이상 만 34세 이하,제한없음,서울특별시 노원구,http://www.nowonsc.kr
213,"청년과 어르신 주거 공유
(한지붕 세대공감, 세대융합형 룸셰어링)",주거공간의 여유가 있는 어르신과 주거공간이 필요한 대학생을 연결하여 어르신은 저렴하게 주거공간을 제공하고 대학생은 어르신에게 소정의 임대료와 생활서비스(봉사활동)를 제공하는 주거공유 프로그램,-,대학 재학(휴학생 포함),서울특별시 노원구청,http://www.nowon.kr/join/share/index.jsp
214,청년참여 지원사업,"청년들의 참신한 아이디어를 담은 프로젝트를 공모 ‧ 지원하여 지역 청년들에게 능동적인 사회참여를 유도하고, 청년들의 자립기반 형성과 역량을 강화하기 위한「청년참여 지원사업」을 다음과 같이 공고",19세 ~ 39세,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
215,청년 취창업 스터디 지원사업,"취창업 준비비용 부담을 경감시켜주기 위해 스터디룸 사용료 및 취업관련 도서 지원
도봉구에서는 심각한 취업난 속에서 취·창업을 위해 고군분투하고 있는 청년 구직자들의 경제적‧심리적 부담을 덜어주고자 「도봉구 청년 취·창업 스터디 지원사업」을 아래와 같이 공모",19세 ~39세,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
216,도봉구 청년네트워크,청년의 시각으로 지역 사회의 현안을 진단하고 대안을 제시하기 위해 정책 발굴 및 제안을 위한 도봉구 청년네트워크 활동가를 모집,19세 ~ 39세,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
217,도봉 청년벤처 네트워크,"도봉 청년벤처(청년 창업가, 전문직, 소셜&NGO 등)를 발굴·네트워킹하고, 서로 간 협업을 통하여 지역사회 내 청년 창업 생태계 구축",19세 ~ 39세,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/bbs.asp?bmode=D&pcode=12674424&code=10004125
218,도봉청년축제,청년 스스로 축제 주인공이 되어 직접 기획하고 실행하는 청년주도의 축제 개최,-,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
219,청년 사회혁신가 양성과정,사회혁신 및 공익활동 분야에 관심있는 지역 청년들이 보다 쉽게 사회혁신을 이해할 수 있는 교육과정 제공,19세 ~ 39세,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
220,"2019년 지역주도형 청년일자리 사업 
「청년! 지역에서 꿈을 찾다」 참여자 모집 공고",청년에게 적합한 지역 일자리를 발굴․제공하여 지속가능한 경제활동을 지원하는 「2019년 지역주도형 청년일자리 사업」에 참여할 청년들을 다음과 같이 모집합니다. ,만18세 ~39세이하,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
221,2019년 상반기 공공근로사업 참여자 모집,근로의사가 있는 구민에게 일자리를 제공하기 위해 도봉구에서 추진하는「2019년 상반기 공공근로사업」 참여자 모집,만 18세 이상,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
222,2019년 하반기 공공근로사업 참여자 모집,근로의사가 있는 구민에게 일자리를 제공하기 위해 도봉구에서 추진하는「2019년 하반기 공공근로사업」 참여자 모집,만 18세 이상,제한 없음,서울특별시 도봉구,http://www.dobong.go.kr/
